time,signal,rx bitrate, tx bitrate,mcs_number_rx,mcs_number_tx,bandwidth_tx,bandwidth_rx,connections
2.578338091,-32dBm,86.7_MBit/s_MCS_12_short_GI___,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,86.7,64
2.669618046,-34dBm,86.7_MBit/s_MCS_12_short_GI___,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,86.7,64
2.704426419,-31dBm,86.7_MBit/s_MCS_12_short_GI___,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,86.7,64
2.722083121,-31dBm,57.8_MBit/s_MCS_11_short_GI___,144.4_MBit/s_MCS_15_short_GI___,11,15,144.4,57.8,64
3.366512732,-34dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,64
3.918474817,-35dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,64
4.132287173,-31dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,64
4.694909838,-35dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,64
5.391048876,-38dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,64
5.396412015,-37dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,64
7.78526029,-40dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
11.966441061,-33dBm,57.8_MBit/s_MCS_11_short_GI___,144.4_MBit/s_MCS_15_short_GI___,11,15,144.4,57.8,64
11.968285257,-34dBm,57.8_MBit/s_MCS_11_short_GI___,144.4_MBit/s_MCS_15_short_GI___,11,15,144.4,57.8,64
14.982679587,-41dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
15.127988586,-41dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,64
18.848029497,-35dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
18.922545267,-37dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
28.671809192,-43dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
33.880980364,-45dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
34.963781887,-44dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
36.989114581,-42dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
38.772479939,-40dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
38.816624575,-44dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
38.838157874,-45dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
38.85957323,-46dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
38.96235962,-38dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
39.361367758,-41dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
39.412016794,-43dBm,130.0_MBit/s_MCS_15_____,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,130,64
44.255064162,-46dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
45.9631675,-39dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
72.044787094,-27dBm,1.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,1,64
77.164775797,-37dBm,1.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,1,64
102.336458698,-34dBm,2.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,2,64
106.130766675,-36dBm,1.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,1,64
106.144518367,-34dBm,1.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,1,64
109.542144091,-35dBm,1.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,1,64
110.901213436,-35dBm,2.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,2,64
112.67121398,-34dBm,5.5_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,5.5,64
113.935382214,-36dBm,11.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,11,64
114.065452005,-35dBm,11.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,11,64
114.419594065,-38dBm,12.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,12,64
114.667308682,-38dBm,18.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,18,64
114.835301069,-39dBm,18.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,18,64
114.879435155,-39dBm,24.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,24,64
115.507833315,-39dBm,36.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,36,64
115.848617223,-40dBm,48.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,48,64
115.860844091,-39dBm,48.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,48,64
116.036257536,-40dBm,54.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,54,64
116.045408865,-41dBm,54.0_MBit/s_______,144.4_MBit/s_MCS_15_short_GI___,,15,144.4,54,64
116.209618339,-40dBm,26.0_MBit/s_MCS_3_____,144.4_MBit/s_MCS_15_short_GI___,3,15,144.4,26,64
116.516028421,-34dBm,52.0_MBit/s_MCS_5_____,144.4_MBit/s_MCS_15_short_GI___,5,15,144.4,52,64
116.630985353,-35dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,64
116.634319112,-34dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,64
116.680756521,-34dBm,78.0_MBit/s_MCS_12_____,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,78,64
120.07202038,-29dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,64
122.705177181,-45dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,64
